run_id,algorithm_name,input_size,time_ns,memory_kb,date_run
54,hash_table,20000,385916,,2026-08-22T00:53:05.938801Z
55,hash_table,20000,421542,,2026-08-22T00:53:05.940339Z
56,bst,100,4250,,2026-08-22T00:53:05.958728Z
57,red_black_tree,100,2333,,2026-08-22T00:53:05.958771Z
58,bst,500,5708,,2026-08-22T00:53:05.960197Z
59,red_black_tree,500,584,,2026-08-22T00:53:05.960222Z
60,bst,1000,15708,,2026-08-22T00:53:05.963701Z
61,red_black_tree,1000,3167,,2026-08-22T00:53:05.963721Z
62,bst,5000,34000,,2026-08-22T00:53:05.992166Z
63,red_black_tree,5000,584,,2026-08-22T00:53:05.992209Z
64,bst,10000,79333,,2026-08-22T00:53:06.095002Z
65,red_black_tree,10000,1458,,2026-08-22T00:53:06.095107Z
66,heap_insert,100,20625,,2026-08-22T00:53:06.110229Z
67,heap_extract,100,50459,,2026-08-22T00:53:06.110268Z
68,heap_insert,1000,150333,,2026-08-22T00:53:06.110962Z
69,heap_extract,1000,372834,,2026-08-22T00:53:06.110988Z
70,heap_insert,5000,251083,,2026-08-22T00:53:06.112539Z
71,heap_extract,5000,791208,,2026-08-22T00:53:06.112546Z
72,heap_insert,10000,555083,,2026-08-22T00:53:06.116285Z
73,heap_extract,10000,1181375,,2026-08-22T00:53:06.116293Z
74,heap_insert,20000,447750,,2026-08-22T00:53:06.121425Z
75,heap_extract,20000,1798334,,2026-08-22T00:53:06.121433Z
76,bfs,50,1767792,,2026-08-22T00:53:06.143501Z
77,dfs,50,984917,,2026-08-22T00:53:06.143531Z
78,dijkstra,50,1069250,,2026-08-22T00:53:06.143540Z
79,kruskal_mst,50,1981833,,2026-08-22T00:53:06.143546Z
80,bfs,100,80708,,2026-08-22T00:53:06.145086Z
81,dfs,100,88291,,2026-08-22T00:53:06.145098Z
82,dijkstra,100,146833,,2026-08-22T00:53:06.145105Z
83,kruskal_mst,100,247458,,2026-08-22T00:53:06.145111Z
84,bfs,200,68625,,2026-08-22T00:53:06.147080Z
85,dfs,200,83417,,2026-08-22T00:53:06.147100Z
86,dijkstra,200,277833,,2026-08-22T00:53:06.147109Z
87,kruskal_mst,200,375458,,2026-08-22T00:53:06.147115Z
88,bfs,500,198500,,2026-08-22T00:53:06.151096Z
89,dfs,500,195042,,2026-08-22T00:53:06.151122Z
90,dijkstra,500,740125,,2026-08-22T00:53:06.151130Z
91,kruskal_mst,500,893417,,2026-08-22T00:53:06.151136Z
